id,id_transacao,id_produto,quantidade,preco_unitario
1,1,317,2,54.94
2,2,64,2,43.12
3,3,328,3,388.27
4,4,359,4,269.39
5,5,246,1,106.29
6,6,189,1,449.69
7,7,416,2,258.31
8,8,161,1,63.03
9,9,296,4,121.23
10,10,494,1,27.45
11,11,335,4,311.72
12,12,295,2,219.86
13,13,469,4,8.85
14,14,1,4,251.86
15,15,91,2,78.25
16,16,445,2,449.01
17,17,3,1,47.57
18,18,161,5,63.03
19,19,261,2,485.53
20,20,44,3,20.78
21,21,106,4,435.41
22,22,201,2,384.87
23,23,220,5,424.42
24,24,112,5,361.46
25,25,398,1,364.17
26,26,443,2,476.82
27,27,208,5,402.29
28,28,173,2,284.87
29,29,103,5,85.93
30,30,480,5,248.49
31,31,61,5,367.46
32,32,270,2,184.22
33,33,381,3,353.85
34,34,84,3,403.76
35,35,58,2,93.32
36,36,335,5,311.72
37,37,234,1,318.48
38,38,465,3,442.77
39,39,265,3,279.98
40,40,278,3,90.57
41,41,472,2,102.08
42,42,397,2,166.81
43,43,15,4,192.79
44,44,460,3,438.22
45,45,353,1,273.71
46,46,99,5,474.58
47,47,130,5,312.61
48,48,370,3,260.08
49,49,172,5,184.43
50,50,233,2,39.06
51,51,406,1,42.21
52,52,489,5,231.38
53,53,90,1,247.29
54,54,209,5,247.51
55,55,397,4,166.81
56,56,195,3,332.35
57,57,155,3,400.01
58,58,76,3,38.38
59,59,485,5,263.69
60,60,360,3,119.26
61,61,55,2,283.0
62,62,374,3,401.47
63,63,148,2,152.59
64,64,43,5,51.53
65,65,50,1,53.84
66,66,271,1,154.81
67,67,285,3,160.13
68,68,327,1,457.33
69,69,170,4,448.75
70,70,426,2,337.48
71,71,180,3,287.96
72,72,313,4,30.73
73,73,306,5,354.51
74,74,473,4,44.61
75,75,421,5,96.44
76,76,183,1,315.2
77,77,119,3,171.13
78,78,456,1,474.96
79,79,326,4,409.39
80,80,430,4,451.99
81,81,104,5,346.67
82,82,276,1,418.24
83,83,421,3,96.44
84,84,394,3,215.74
85,85,282,2,443.4
86,86,70,4,171.29
87,87,309,1,180.73
88,88,429,4,326.48
89,89,230,4,31.25
90,90,451,4,278.05
91,91,344,2,292.31
92,92,424,1,146.81
93,93,271,1,154.81
94,94,321,5,185.43
95,95,122,2,210.59
96,96,174,3,230.03
97,97,445,2,449.01
98,98,70,5,171.29
99,99,167,2,135.4
100,100,122,3,210.59
101,101,71,2,182.74
102,102,2,4,373.97
103,103,285,5,160.13
104,104,406,3,42.21
105,105,346,1,399.36
106,106,230,5,31.25
107,107,64,2,43.12
108,108,175,4,336.18
109,109,247,2,330.29
110,110,72,3,368.24
111,111,224,4,48.9
112,112,213,4,450.31
113,113,74,2,370.25
114,114,19,5,348.38
115,115,30,5,227.71
116,116,435,5,48.28
117,117,44,1,20.78
118,118,321,5,185.43
119,119,289,3,107.46
120,120,382,2,280.82
121,121,433,5,70.49
122,122,218,3,231.14
123,123,415,4,119.32
124,124,58,4,93.32
125,125,194,1,467.05
126,126,335,2,311.72
127,127,43,3,51.53
128,128,75,1,445.24
129,129,8,2,473.99
130,130,153,2,241.32
131,131,316,5,249.04
132,132,55,4,283.0
133,133,213,1,450.31
134,134,377,5,181.9
135,135,237,5,251.36
136,136,163,2,179.74
137,137,460,1,438.22
138,138,233,4,39.06
139,139,302,4,329.05
140,140,468,5,147.83
141,141,326,1,409.39
142,142,442,1,232.56
143,143,115,3,171.74
144,144,211,3,495.33
145,145,350,3,278.33
146,146,248,4,399.21
147,147,438,3,305.01
148,148,434,3,253.66
149,149,62,4,194.24
150,150,320,5,35.47
151,151,7,2,149.99
152,152,79,2,417.1
153,153,496,4,303.83
154,154,53,4,145.45
155,155,365,1,433.88
156,156,477,4,57.82
157,157,145,1,105.55
158,158,134,3,401.52
159,159,365,5,433.88
160,160,369,2,183.99
161,161,44,2,20.78
162,162,54,2,297.32
163,163,263,1,204.14
164,164,298,5,39.18
165,165,195,1,332.35
166,166,458,3,207.91
167,167,195,1,332.35
168,168,192,1,497.43
169,169,56,3,163.55
170,170,438,1,305.01
171,171,257,3,395.52
172,172,108,4,195.24
173,173,482,2,63.14
174,174,237,1,251.36
175,175,237,5,251.36
176,176,387,3,261.9
177,177,471,2,399.7
178,178,35,5,481.87
179,179,165,1,409.58
180,180,124,2,30.75
181,181,302,2,329.05
182,182,359,4,269.39
183,183,27,2,437.62
184,184,115,2,171.74
185,185,399,1,214.1
186,186,26,1,459.95
187,187,139,3,294.39
188,188,479,3,46.87
189,189,188,5,77.63
190,190,159,4,427.18
191,191,348,3,141.51
192,192,274,1,400.74
193,193,92,2,76.41
194,194,80,5,200.6
195,195,129,5,238.86
196,196,57,5,446.35
197,197,221,3,47.87
198,198,150,4,374.59
199,199,198,3,37.13
200,200,123,4,32.74
201,201,460,3,438.22
202,202,109,5,457.59
203,203,314,1,332.77
204,204,485,5,263.69
205,205,186,3,58.37
206,206,461,5,276.46
207,207,301,3,280.45
208,208,399,1,214.1
209,209,355,2,275.79
210,210,294,1,114.07
211,211,160,3,279.12
212,212,411,4,262.46
213,213,161,1,63.03
214,214,40,1,332.72
215,215,409,4,352.5
216,216,69,5,28.56
217,217,415,5,119.32
218,218,411,3,262.46
219,219,113,1,324.04
220,220,313,3,30.73
221,221,211,1,495.33
222,222,246,4,106.29
223,223,270,5,184.22
224,224,134,2,401.52
225,225,123,4,32.74
226,226,471,4,399.7
227,227,42,4,45.12
228,228,294,4,114.07
229,229,282,3,443.4
230,230,463,3,114.47
231,231,402,2,29.67
232,232,296,2,121.23
233,233,169,4,89.28
234,234,396,2,156.43
235,235,402,3,29.67
236,236,278,3,90.57
237,237,457,5,424.58
238,238,399,1,214.1
239,239,300,1,331.66
240,240,58,2,93.32
241,241,444,1,297.76
242,242,258,4,153.64
243,243,292,2,317.01
244,244,489,5,231.38
245,245,299,3,106.93
246,246,471,4,399.7
247,247,141,5,186.08
248,248,228,3,83.04
249,249,289,2,107.46
250,250,412,4,418.04
251,251,481,2,332.0
252,252,160,5,279.12
253,253,60,4,171.73
254,254,410,1,342.46
255,255,157,2,178.75
256,256,468,1,147.83
257,257,302,1,329.05
258,258,30,1,227.71
259,259,223,1,13.92
260,260,121,4,66.26
261,261,306,2,354.51
262,262,488,5,54.16
263,263,293,1,112.94
264,264,443,1,476.82
265,265,92,5,76.41
266,266,49,2,221.21
267,267,275,5,92.15
268,268,452,3,422.41
269,269,399,1,214.1
270,270,286,5,342.62
271,271,372,5,187.96
272,272,56,3,163.55
273,273,321,3,185.43
274,274,488,1,54.16
275,275,134,2,401.52
276,276,139,3,294.39
277,277,260,1,384.97
278,278,51,1,381.14
279,279,291,5,229.85
280,280,71,1,182.74
281,281,187,5,432.99
282,282,140,3,416.5
283,283,441,2,361.83
284,284,177,2,140.82
285,285,492,5,169.44
286,286,326,5,409.39
287,287,374,4,401.47
288,288,496,5,303.83
289,289,382,5,280.82
290,290,395,2,273.75
291,291,245,3,13.41
292,292,17,5,33.61
293,293,462,4,389.53
294,294,137,2,339.78
295,295,41,4,343.12
296,296,144,5,100.08
297,297,134,4,401.52
298,298,314,2,332.77
299,299,449,5,331.88
300,300,234,3,318.48
301,301,204,4,485.79
302,302,145,5,105.55
303,303,96,5,51.01
304,304,101,1,140.84
305,305,62,4,194.24
306,306,316,2,249.04
307,307,168,2,237.0
308,308,125,3,326.77
309,309,212,5,285.99
310,310,37,2,390.89
311,311,344,5,292.31
312,312,483,2,337.78
313,313,471,1,399.7
314,314,351,3,181.41
315,315,304,1,144.27
316,316,265,3,279.98
317,317,425,4,402.61
318,318,6,1,380.41
319,319,403,4,51.86
320,320,400,3,455.33
321,321,486,5,215.56
322,322,343,2,357.85
323,323,401,1,259.06
324,324,369,1,183.99
325,325,376,5,282.91
326,326,201,3,384.87
327,327,468,2,147.83
328,328,391,4,126.09
329,329,447,3,360.39
330,330,488,5,54.16
331,331,457,4,424.58
332,332,191,3,262.81
333,333,269,5,318.85
334,334,103,5,85.93
335,335,261,2,485.53
336,336,125,4,326.77
337,337,155,2,400.01
338,338,112,4,361.46
339,339,198,1,37.13
340,340,196,5,335.8
341,341,271,1,154.81
342,342,378,1,462.22
343,343,50,3,53.84
344,344,84,2,403.76
345,345,469,1,8.85
346,346,451,3,278.05
347,347,134,2,401.52
348,348,434,2,253.66
349,349,271,3,154.81
350,350,93,5,298.44
351,351,186,1,58.37
352,352,241,3,16.65
353,353,236,3,158.07
354,354,128,4,254.97
355,355,242,3,218.85
356,356,293,1,112.94
357,357,175,5,336.18
358,358,478,1,225.26
359,359,380,5,221.51
360,360,342,3,138.58
361,361,92,3,76.41
362,362,155,3,400.01
363,363,102,5,248.89
364,364,306,3,354.51
365,365,97,2,230.78
366,366,248,1,399.21
367,367,483,2,337.78
368,368,97,1,230.78
369,369,263,2,204.14
370,370,495,4,188.67
371,371,209,5,247.51
372,372,120,5,430.63
373,373,150,1,374.59
374,374,163,2,179.74
375,375,469,3,8.85
376,376,172,3,184.43
377,377,172,3,184.43
378,378,419,5,175.05
379,379,233,1,39.06
380,380,320,2,35.47
381,381,127,4,131.37
382,382,389,5,463.39
383,383,155,5,400.01
384,384,39,3,344.51
385,385,465,4,442.77
386,386,197,3,466.67
387,387,445,2,449.01
388,388,452,3,422.41
389,389,59,4,475.41
390,390,70,4,171.29
391,391,87,4,245.12
392,392,451,5,278.05
393,393,244,5,286.42
394,394,79,3,417.1
395,395,7,1,149.99
396,396,213,1,450.31
397,397,132,5,40.45
398,398,133,5,31.1
399,399,65,5,393.26
400,400,176,4,97.24
401,401,160,5,279.12
402,402,204,3,485.79
403,403,169,1,89.28
404,404,215,3,486.52
405,405,267,3,53.94
406,406,480,3,248.49
407,407,163,5,179.74
408,408,461,5,276.46
409,409,435,4,48.28
410,410,292,4,317.01
411,411,41,5,343.12
412,412,324,3,373.07
413,413,97,3,230.78
414,414,49,3,221.21
415,415,225,2,320.75
416,416,30,1,227.71
417,417,468,2,147.83
418,418,498,2,257.71
419,419,267,3,53.94
420,420,345,4,29.33
421,421,9,2,322.59
422,422,171,5,161.14
423,423,129,2,238.86
424,424,276,3,418.24
425,425,276,3,418.24
426,426,275,5,92.15
427,427,260,2,384.97
428,428,32,2,186.42
429,429,391,3,126.09
430,430,400,2,455.33
431,431,222,2,480.51
432,432,164,1,317.94
433,433,363,5,199.74
434,434,386,2,214.42
435,435,465,2,442.77
436,436,386,3,214.42
437,437,455,4,302.85
438,438,387,3,261.9
439,439,79,1,417.1
440,440,84,2,403.76
441,441,472,1,102.08
442,442,467,1,495.92
443,443,436,5,93.14
444,444,8,2,473.99
445,445,318,2,40.2
446,446,2,2,373.97
447,447,99,2,474.58
448,448,5,5,203.04
449,449,297,4,347.84
450,450,415,3,119.32
451,451,195,4,332.35
452,452,466,1,35.3
453,453,372,4,187.96
454,454,315,5,160.12
455,455,386,2,214.42
456,456,358,1,440.69
457,457,222,2,480.51
458,458,394,1,215.74
459,459,174,1,230.03
460,460,119,2,171.13
461,461,107,5,35.31
462,462,114,4,126.82
463,463,448,5,146.21
464,464,440,3,72.41
465,465,84,4,403.76
466,466,498,3,257.71
467,467,35,4,481.87
468,468,48,4,66.34
469,469,236,1,158.07
470,470,295,4,219.86
471,471,481,2,332.0
472,472,398,1,364.17
473,473,257,4,395.52
474,474,425,5,402.61
475,475,254,2,246.22
476,476,148,3,152.59
477,477,389,1,463.39
478,478,402,2,29.67
479,479,400,3,455.33
480,480,392,4,322.26
481,481,210,5,177.06
482,482,31,3,382.05
483,483,462,3,389.53
484,484,398,2,364.17
485,485,220,4,424.42
486,486,461,4,276.46
487,487,374,1,401.47
488,488,30,1,227.71
489,489,472,1,102.08
490,490,367,1,302.77
491,491,268,4,370.07
492,492,252,1,313.04
493,493,87,5,245.12
494,494,55,1,283.0
495,495,494,3,27.45
496,496,398,1,364.17
497,497,490,1,143.96
498,498,355,4,275.79
499,499,246,5,106.29
500,500,464,4,323.14
501,501,39,2,344.51
502,502,463,1,114.47
503,503,156,4,137.14
504,504,16,2,370.82
505,505,153,5,241.32
506,506,10,3,403.77
507,507,117,5,118.42
508,508,89,4,84.3
509,509,313,3,30.73
510,510,418,1,180.86
511,511,126,3,359.36
512,512,483,2,337.78
513,513,199,4,475.82
514,514,273,2,141.04
515,515,500,5,106.95
516,516,373,5,164.94
517,517,322,1,178.31
518,518,243,3,429.39
519,519,179,1,77.77
520,520,184,5,124.84
521,521,477,5,57.82
522,522,199,4,475.82
523,523,355,1,275.79
524,524,202,3,273.21
525,525,194,2,467.05
526,526,463,5,114.47
527,527,487,4,292.96
528,528,461,5,276.46
529,529,32,2,186.42
530,530,296,1,121.23
531,531,288,3,408.81
532,532,143,1,264.2
533,533,427,5,306.4
534,534,451,2,278.05
535,535,158,5,206.23
536,536,437,2,453.65
537,537,68,4,284.57
538,538,171,2,161.14
539,539,10,3,403.77
540,540,128,4,254.97
541,541,314,1,332.77
542,542,150,4,374.59
543,543,383,1,214.69
544,544,195,3,332.35
545,545,147,3,75.78
546,546,306,5,354.51
547,547,137,5,339.78
548,548,430,5,451.99
549,549,462,5,389.53
550,550,341,1,217.46
551,551,87,1,245.12
552,552,405,1,387.9
553,553,237,5,251.36
554,554,79,1,417.1
555,555,231,2,460.29
556,556,481,1,332.0
557,557,120,1,430.63
558,558,420,2,29.36
559,559,430,3,451.99
560,560,236,3,158.07
561,561,277,1,338.35
562,562,60,1,171.73
563,563,144,2,100.08
564,564,172,5,184.43
565,565,375,3,253.18
566,566,133,5,31.1
567,567,498,2,257.71
568,568,10,2,403.77
569,569,89,1,84.3
570,570,1,3,251.86
571,571,20,2,357.91
572,572,309,1,180.73
573,573,454,3,308.08
574,574,405,5,387.9
575,575,429,3,326.48
576,576,442,4,232.56
577,577,304,3,144.27
578,578,379,3,58.03
579,579,296,5,121.23
580,580,74,2,370.25
581,581,145,3,105.55
582,582,478,2,225.26
583,583,266,2,310.71
584,584,296,5,121.23
585,585,152,3,270.18
586,586,69,4,28.56
587,587,259,5,275.75
588,588,60,5,171.73
589,589,166,2,259.29
590,590,343,5,357.85
591,591,329,4,273.8
592,592,323,4,368.84
593,593,28,2,228.31
594,594,483,5,337.78
595,595,25,4,351.42
596,596,431,5,157.84
597,597,97,4,230.78
598,598,106,5,435.41
599,599,177,5,140.82
600,600,366,1,487.73
601,601,63,1,357.09
602,602,149,4,171.26
603,603,445,3,449.01
604,604,252,1,313.04
605,605,139,3,294.39
606,606,434,2,253.66
607,607,284,2,240.86
608,608,151,3,289.29
609,609,118,5,203.69
610,610,299,3,106.93
611,611,486,4,215.56
612,612,196,4,335.8
613,613,332,5,112.31
614,614,251,2,268.73
615,615,73,5,368.54
616,616,317,1,54.94
617,617,353,4,273.71
618,618,203,4,405.49
619,619,192,5,497.43
620,620,385,1,261.72
621,621,149,3,171.26
622,622,444,2,297.76
623,623,466,4,35.3
624,624,304,1,144.27
625,625,226,2,12.9
626,626,225,4,320.75
627,627,292,1,317.01
628,628,448,1,146.21
629,629,421,2,96.44
630,630,57,4,446.35
631,631,54,2,297.32
632,632,35,1,481.87
633,633,367,1,302.77
634,634,439,4,301.92
635,635,451,1,278.05
636,636,262,2,405.66
637,637,207,4,476.52
638,638,301,2,280.45
639,639,75,4,445.24
640,640,55,1,283.0
641,641,356,4,338.65
642,642,37,4,390.89
643,643,202,2,273.21
644,644,142,5,72.62
645,645,443,3,476.82
646,646,446,5,202.1
647,647,448,3,146.21
648,648,75,3,445.24
649,649,156,1,137.14
650,650,399,2,214.1
651,651,298,2,39.18
652,652,99,5,474.58
653,653,36,2,338.08
654,654,286,1,342.62
655,655,139,3,294.39
656,656,482,2,63.14
657,657,20,4,357.91
658,658,123,5,32.74
659,659,386,4,214.42
660,660,121,2,66.26
661,661,290,3,432.89
662,662,421,2,96.44
663,663,436,5,93.14
664,664,472,2,102.08
665,665,313,2,30.73
666,666,234,2,318.48
667,667,314,1,332.77
668,668,255,2,86.57
669,669,380,4,221.51
670,670,316,4,249.04
671,671,128,2,254.97
672,672,54,1,297.32
673,673,290,3,432.89
674,674,353,3,273.71
675,675,446,3,202.1
676,676,491,4,474.56
677,677,409,4,352.5
678,678,217,3,296.89
679,679,281,3,29.76
680,680,362,1,432.86
681,681,247,4,330.29
682,682,304,1,144.27
683,683,393,2,282.07
684,684,2,2,373.97
685,685,182,2,234.43
686,686,233,3,39.06
687,687,171,1,161.14
688,688,147,4,75.78
689,689,52,1,449.86
690,690,427,1,306.4
691,691,471,1,399.7
692,692,37,1,390.89
693,693,298,4,39.18
694,694,401,5,259.06
695,695,471,3,399.7
696,696,156,1,137.14
697,697,368,2,332.68
698,698,355,1,275.79
699,699,475,2,360.54
700,700,126,4,359.36
701,701,336,5,297.69
702,702,154,5,426.53
703,703,104,5,346.67
704,704,368,2,332.68
705,705,41,3,343.12
706,706,267,5,53.94
707,707,480,1,248.49
708,708,357,3,334.39
709,709,483,5,337.78
710,710,131,2,280.76
711,711,70,2,171.29
712,712,121,2,66.26
713,713,13,1,100.67
714,714,214,5,127.07
715,715,482,3,63.14
716,716,394,3,215.74
717,717,319,5,365.63
718,718,273,3,141.04
719,719,244,1,286.42
720,720,377,3,181.9
721,721,212,2,285.99
722,722,187,5,432.99
723,723,204,1,485.79
724,724,487,4,292.96
725,725,407,3,131.7
726,726,470,3,367.78
727,727,153,3,241.32
728,728,308,2,244.26
729,729,120,4,430.63
730,730,140,3,416.5
731,731,336,3,297.69
732,732,162,1,94.51
733,733,463,4,114.47
734,734,37,2,390.89
735,735,169,4,89.28
736,736,398,1,364.17
737,737,255,4,86.57
738,738,299,5,106.93
739,739,99,5,474.58
740,740,430,3,451.99
741,741,481,2,332.0
742,742,69,5,28.56
743,743,71,1,182.74
744,744,272,4,355.83
745,745,485,4,263.69
746,746,203,3,405.49
747,747,3,2,47.57
748,748,469,4,8.85
749,749,210,5,177.06
750,750,46,2,352.04
751,751,429,5,326.48
752,752,197,1,466.67
753,753,35,4,481.87
754,754,266,2,310.71
755,755,255,1,86.57
756,756,35,4,481.87
757,757,108,5,195.24
758,758,356,3,338.65
759,759,157,5,178.75
760,760,16,4,370.82
761,761,480,2,248.49
762,762,172,4,184.43
763,763,180,3,287.96
764,764,47,1,70.38
765,765,312,5,400.92
766,766,239,4,445.17
767,767,419,2,175.05
768,768,295,1,219.86
769,769,423,1,139.9
770,770,193,3,471.71
771,771,320,5,35.47
772,772,131,2,280.76
773,773,464,1,323.14
774,774,290,3,432.89
775,775,62,5,194.24
776,776,20,1,357.91
777,777,310,1,103.63
778,778,387,3,261.9
779,779,94,1,411.21
780,780,229,5,217.89
781,781,79,3,417.1
782,782,348,4,141.51
783,783,4,1,422.74
784,784,298,1,39.18
785,785,118,1,203.69
786,786,127,3,131.37
787,787,410,5,342.46
788,788,239,5,445.17
789,789,485,1,263.69
790,790,429,5,326.48
791,791,300,3,331.66
792,792,431,1,157.84
793,793,321,2,185.43
794,794,56,1,163.55
795,795,213,5,450.31
796,796,236,4,158.07
797,797,278,3,90.57
798,798,233,5,39.06
799,799,173,3,284.87
800,800,406,3,42.21
801,801,492,3,169.44
802,802,167,1,135.4
